zone_name,latitude,longitude,time_hour,is_festival_period,is_monsoon_heavy_rain,previous_incidents,crowd_level,weather_risk,tourist_density,zone_risk,risk_score,risk_label
Annamalaiyar Temple (Base),12.226962940385047,79.06623971190615,7,0,1,2,Medium,Low,Medium,Low,20.9,Low
Annamalaiyar Temple (Base),12.22693894763117,79.06623273532574,22,0,0,0,Medium,Low,High,Low,23.3,Low
Annamalaiyar Temple (Base),12.227431583097545,79.06759080518977,14,0,0,0,Medium,Low,High,Low,8.3,Low
Annamalaiyar Temple (Base),12.227984407706552,79.06612884040264,15,0,0,2,Medium,High,Medium,Low,34.9,Medium
Annamalaiyar Temple (Base),12.227950297742783,79.06975084800202,21,1,0,3,Low,High,Low,Low,28.0,Low
Annamalaiyar Temple (Base),12.22722822127629,79.06773787580816,5,0,0,2,Medium,Medium,Low,Low,24.7,Low
Annamalaiyar Temple (Base),12.226227928536224,79.069624900055,21,0,1,1,Medium,Low,Medium,Low,9.3,Low
Annamalaiyar Temple (Base),12.227685516322714,79.06946080427133,23,0,0,1,Low,Low,Medium,Low,19.5,Low
Annamalaiyar Temple (Base),12.225793920605042,79.06668346915261,5,0,0,1,Low,Medium,Medium,Low,14.1,Low
Annamalaiyar Temple (Base),12.226253927010855,79.06669455503979,18,0,0,0,High,Medium,Low,Low,0.0,Low
Annamalaiyar Temple (Base),12.227763687707533,79.06746128785446,23,0,1,1,Low,Low,High,Low,19.2,Low
Annamalaiyar Temple (Base),12.227942064966783,79.06893785946926,13,0,0,1,Medium,Low,High,Low,13.0,Low
Annamalaiyar Temple (Base),12.224936078857862,79.06899505084502,12,0,0,0,Medium,Low,Medium,Low,0.0,Low
Annamalaiyar Temple (Base),12.22610340747846,79.06954560848635,2,0,0,0,High,Medium,High,Low,18.1,Low
Annamalaiyar Temple (Base),12.227146976942441,79.06927139811853,19,0,0,1,Low,Medium,High,Low,22.8,Low
Annamalaiyar Temple (Base),12.225914794745272,79.06941065481772,11,0,0,0,Low,Low,Medium,Low,3.9,Low
Annamalaiyar Temple (Base),12.225268428509578,79.06722717876147,1,0,1,0,Medium,Low,Medium,Low,14.7,Low
Annamalaiyar Temple (Base),12.225610669492761,79.06714350328258,5,0,0,0,Low,Medium,Medium,Low,12.7,Low
Annamalaiyar Temple (Base),12.224969592970021,79.0678884487789,19,0,0,0,High,Low,Medium,Low,0.0,Low
Annamalaiyar Temple (Base),12.22558621480784,79.06951132868762,19,0,0,2,Medium,Low,Medium,Low,18.2,Low
Annamalaiyar Temple (Base),12.227643495457084,79.0675455912511,1,0,1,0,Low,Low,Low,Low,10.9,Low
Annamalaiyar Temple (Base),12.226673251425074,79.06970130694204,7,0,1,2,Medium,Low,High,Low,14.9,Low
Annamalaiyar Temple (Base),12.224620777966729,79.06862085187598,1,0,0,1,Low,Medium,Low,Low,24.6,Low
Annamalaiyar Temple (Base),12.224130805923043,79.06897230437752,8,1,0,3,Medium,Medium,Medium,Low,27.2,Low
Annamalaiyar Temple (Base),12.22426981069648,79.0675418870753,20,0,0,0,Medium,High,Low,Low,21.0,Low
Annamalaiyar Temple (Base),12.227326277205115,79.06959105552353,15,0,0,0,Medium,Low,Medium,Low,2.0,Low
Annamalaiyar Temple (Base),12.227230200394745,79.06597299171065,9,0,1,0,Medium,Medium,High,Low,20.0,Low
Annamalaiyar Temple (Base),12.224903731743222,79.06912010283102,5,0,0,0,High,Low,Low,Low,0.0,Low
Annamalaiyar Temple (Base),12.227922714330564,79.06840266287297,17,0,0,0,Low,Low,High,Low,3.1,Low
Annamalaiyar Temple (Base),12.226476941858634,79.06685967046485,8,0,0,1,Low,Low,High,Low,19.1,Low
Annamalaiyar Temple (Base),12.225404487314112,79.06588629794152,8,0,0,0,High,Low,Low,Low,0.0,Low
Annamalaiyar Temple (Base),12.22474906804053,79.06797193070439,19,0,0,0,High,Medium,Low,Low,4.6,Low
Annamalaiyar Temple (Base),12.226622807108061,79.0689053531857,4,0,0,1,High,Low,Medium,Low,10.6,Low
Annamalaiyar Temple (Base),12.226239547821445,79.0658408428228,4,0,0,2,Low,Medium,Medium,Low,35.8,Medium
Annamalaiyar Temple (Base),12.225354862759694,79.06603680338127,20,0,0,1,Medium,High,Medium,Low,22.5,Low
Annamalaiyar Temple (Base),12.225205879252744,79.06832001084888,4,0,0,0,Medium,Medium,Medium,Low,17.5,Low
Annamalaiyar Temple (Base),12.227258769122875,79.06926065867663,20,0,0,0,Low,Low,Medium,Low,3.3,Low
Annamalaiyar Temple (Base),12.224616870224501,79.06744309860981,6,0,1,0,Medium,Medium,Low,Low,19.0,Low
Annamalaiyar Temple (Base),12.226881267718008,79.06889656231988,8,0,0,0,Low,Medium,High,Low,22.1,Low
Annamalaiyar Temple (Base),12.226546531314076,79.06608292547564,16,0,0,1,High,Low,High,Low,12.6,Low
Annamalaiyar Temple (Base),12.224863876919738,79.06777831227116,21,0,0,2,Medium,Low,Low,Low,8.8,Low
Annamalaiyar Temple (Base),12.22754056165325,79.06768472875602,15,0,0,0,Medium,High,Medium,Low,25.2,Low
Annamalaiyar Temple (Base),12.227276119431021,79.067538443334,20,1,0,0,High,Low,Low,Low,0.0,Low
Annamalaiyar Temple (Base),12.224332267993121,79.06952600956619,13,0,0,0,High,Medium,High,Low,7.3,Low
Annamalaiyar Temple (Base),12.226308703489122,79.06913927840189,15,0,0,1,Low,Low,Medium,Low,13.1,Low
Annamalaiyar Temple (Base),12.22430776364641,79.0687064837406,1,0,0,1,Low,Low,Low,Low,10.5,Low
Annamalaiyar Temple (Base),12.227049746341624,79.06797962450959,13,0,0,1,High,Low,Medium,Low,4.2,Low
Annamalaiyar Temple (Base),12.22591697236469,79.06973558428584,13,0,0,0,High,Medium,Low,Low,1.7,Low
Annamalaiyar Temple (Base),12.22575527194829,79.06799526818548,4,0,0,1,Medium,High,Medium,Low,36.9,Medium
Annamalaiyar Temple (Base),12.226983156052954,79.06652276066488,16,1,0,1,Low,Medium,Medium,Low,20.4,Low
Annamalaiyar Temple (Base),12.225922326234416,79.0662705530592,15,0,0,2,Medium,Medium,Low,Low,11.0,Low
Annamalaiyar Temple (Base),12.224421174869171,79.06960498243531,8,0,0,1,Low,Low,Medium,Low,16.9,Low
Annamalaiyar Temple (Base),12.225805236290944,79.06674223728587,5,0,0,1,Low,Low,Low,Low,5.8,Low
Annamalaiyar Temple (Base),12.227256992978376,79.06897008483652,2,0,0,1,High,Low,Medium,Low,14.8,Low
Annamalaiyar Temple (Base),12.225778416984621,79.06886733794386,22,0,0,4,Medium,Low,Medium,Low,33.9,Medium
Annamalaiyar Temple (Base),12.227180933234246,79.06743532694657,16,0,0,0,Medium,Low,Medium,Low,8.4,Low
Annamalaiyar Temple (Base),12.224154586099766,79.06860045452504,17,0,0,0,Medium,Low,High,Low,1.8,Low
Annamalaiyar Temple (Base),12.22551582539606,79.06842456230324,23,0,0,1,Medium,High,Low,Low,28.9,Low
Annamalaiyar Temple (Base),12.224193431500865,79.06627789714972,1,0,0,0,Medium,Low,Low,Low,16.4,Low
Annamalaiyar Temple (Base),12.22696398589804,79.06748648545855,11,0,0,0,High,Medium,Medium,Low,6.6,Low
Annamalaiyar Temple (Base),12.22425717758834,79.06600520538677,10,0,0,0,High,Medium,Low,Low,1.3,Low
Annamalaiyar Temple (Base),12.224320126313465,79.06860675826312,22,0,0,2,Medium,Medium,Low,Low,30.7,Medium
Annamalaiyar Temple (Base),12.22754477542543,79.06818673006626,19,0,0,0,Medium,Low,Medium,Low,0.0,Low
Annamalaiyar Temple (Base),12.224881978386367,79.06890150057566,0,1,0,1,Low,High,High,Low,40.9,Medium
Annamalaiyar Temple (Base),12.224469663681248,79.0668055538605,15,0,0,0,Low,Medium,High,Low,25.1,Low
Annamalaiyar Temple (Base),12.224577547806561,79.06705920949373,23,0,0,1,Low,Low,Medium,Low,19.2,Low
Annamalaiyar Temple (Base),12.226507828511172,79.06886732070942,22,0,1,0,Low,Medium,Low,Low,16.3,Low
Annamalaiyar Temple (Base),12.226108395615285,79.06620893580019,21,1,0,1,Medium,Low,Medium,Low,4.7,Low
Annamalaiyar Temple (Base),12.226531034339223,79.06728352524175,4,0,0,0,Medium,Medium,Low,Low,20.1,Low
Annamalaiyar Temple (Base),12.224462938604798,79.06830212021987,6,0,1,1,Low,Medium,High,Low,19.1,Low
Annamalaiyar Temple (Base),12.227745396477497,79.06667310271722,16,0,0,0,Low,High,Medium,Low,26.9,Low
Annamalaiyar Temple (Base),12.227424032653225,79.06663775474337,11,0,0,0,Medium,Low,High,Low,18.5,Low
Annamalaiyar Temple (Base),12.224153370439229,79.06640412880827,19,0,0,1,Medium,Medium,High,Low,25.4,Low
Annamalaiyar Temple (Base),12.224497134809331,79.06631783610072,9,1,0,0,Medium,Low,Low,Low,0.0,Low
Annamalaiyar Temple (Base),12.224652250419846,79.06891453372259,11,0,0,0,High,Low,High,Low,1.1,Low
Annamalaiyar Temple (Base),12.225151584909465,79.06629859926738,8,0,0,0,High,Medium,Medium,Low,9.2,Low
Annamalaiyar Temple (Base),12.226018505917668,79.0669252683542,15,1,0,0,Low,Low,High,Low,14.5,Low
Annamalaiyar Temple (Base),12.225169698694232,79.06942142167459,17,0,0,0,Low,Low,Medium,Low,7.9,Low
Annamalaiyar Temple (Base),12.225482503992716,79.06957872042155,0,0,0,0,Medium,High,High,Low,35.8,Medium
Annamalaiyar Temple (Base),12.224952505098882,79.06662647797411,15,0,1,1,High,Low,Low,Low,8.6,Low
Annamalaiyar Temple (Base),12.224049773199082,79.06827429445097,22,0,0,0,Low,Low,High,Low,14.5,Low
Annamalaiyar Temple (Base),12.227970006298303,79.06582731046699,9,0,0,0,Medium,Low,Low,Low,0.0,Low
Annamalaiyar Temple (Base),12.225389594306892,79.0679111589899,8,0,0,0,Low,Low,Low,Low,2.8,Low
Annamalaiyar Temple (Base),12.227192557158292,79.0670665975062,8,0,0,0,Medium,Low,High,Low,17.0,Low
Annamalaiyar Temple (Base),12.22621647662962,79.06922980487356,4,0,0,3,Medium,Low,High,Low,31.3,Medium
Annamalaiyar Temple (Base),12.224079689647542,79.06803980407477,18,0,0,2,High,Low,Low,Low,5.2,Low
Annamalaiyar Temple (Base),12.227752779331237,79.06656070526678,4,0,0,1,High,Low,Medium,Low,16.4,Low
Annamalaiyar Temple (Base),12.22428603315788,79.06700482922207,8,0,0,1,Medium,Low,High,Low,20.7,Low
Annamalaiyar Temple (Base),12.226829805465453,79.06974656682235,23,0,0,1,Low,Medium,Medium,Low,17.9,Low
Annamalaiyar Temple (Base),12.226418274727767,79.06662899691172,6,0,0,1,Low,Low,Low,Low,7.6,Low
Annamalaiyar Temple (Base),12.22450044143193,79.0696582020531,9,0,0,1,High,High,High,Low,23.0,Low
Annamalaiyar Temple (Base),12.226893094167774,79.06709901666082,7,0,0,0,Medium,High,Low,Low,25.6,Low
Annamalaiyar Temple (Base),12.226767688131748,79.06604039111988,18,0,0,2,Medium,High,Low,Low,32.4,Medium
Annamalaiyar Temple (Base),12.226664287216614,79.06915929238089,15,0,1,1,Low,Medium,High,Low,23.7,Low
Annamalaiyar Temple (Base),12.226223753937065,79.06594402300611,14,1,1,0,Low,Low,High,Low,13.2,Low
Annamalaiyar Temple (Base),12.224752253927276,79.06667652075257,8,0,0,0,Low,Medium,Low,Low,9.4,Low
Annamalaiyar Temple (Base),12.22510251405256,79.0684932897809,9,0,0,1,Low,Low,Low,Low,11.1,Low
Annamalaiyar Temple (Base),12.22581816048704,79.06850157225534,17,0,0,1,Medium,Low,Medium,Low,6.4,Low
Annamalaiyar Temple (Base),12.22713358529972,79.06714168778453,22,0,0,0,Medium,Low,Medium,Low,15.7,Low
Annamalaiyar Temple (Base),12.226027572489553,79.06608333513255,17,0,0,0,High,High,Low,Low,12.7,Low
Annamalaiyar Temple (Base),12.224262658136961,79.06865428473921,10,0,0,0,Low,Low,Medium,Low,7.5,Low
Annamalaiyar Temple (Base),12.226153756520956,79.06609409257146,2,0,1,0,Low,Medium,Medium,Low,19.0,Low
Annamalaiyar Temple (Base),12.226704888781393,79.06751913059301,13,0,0,1,Medium,Low,Medium,Low,16.0,Low
Annamalaiyar Temple (Base),12.22702933871773,79.06603625590584,19,0,0,2,High,Low,High,Low,14.4,Low
Annamalaiyar Temple (Base),12.22526853805925,79.06638016205814,13,0,0,0,Low,Low,Medium,Low,0.0,Low
Annamalaiyar Temple (Base),12.225439567235387,79.06894401612519,15,0,0,0,High,Low,Medium,Low,0.0,Low
Annamalaiyar Temple (Base),12.227950556051034,79.06708665299328,13,0,0,0,Medium,Medium,High,Low,25.1,Low
Annamalaiyar Temple (Base),12.22538191354724,79.06580259115407,7,0,0,0,Low,Medium,High,Low,10.4,Low
Annamalaiyar Temple (Base),12.226976131877002,79.0696498036744,18,0,1,2,High,High,Medium,Low,26.4,Low
Annamalaiyar Temple (Base),12.224692822872262,79.06844148351817,8,0,0,2,Medium,Low,Low,Low,17.3,Low
Annamalaiyar Temple (Base),12.227782758439135,79.06683987877526,4,0,0,0,High,Low,Medium,Low,5.3,Low
Annamalaiyar Temple (Base),12.227703645914064,79.06907504555981,4,0,0,2,High,Low,High,Low,20.1,Low
Annamalaiyar Temple (Base),12.226591555741024,79.06648006571533,1,0,0,1,Low,Low,Low,Low,9.3,Low
Annamalaiyar Temple (Base),12.226046016612296,79.06858973059809,2,0,0,0,Low,Low,Medium,Low,9.3,Low
Annamalaiyar Temple (Base),12.225702906150836,79.06969440128653,16,0,1,2,Low,Medium,Medium,Low,23.1,Low
Annamalaiyar Temple (Base),12.226055301711314,79.06782464688175,2,0,0,0,Low,Medium,Medium,Low,16.5,Low
Annamalaiyar Temple (Base),12.227753393491145,79.06603910417988,12,0,0,0,Low,High,Medium,Low,23.4,Low
Annamalaiyar Temple (Base),12.226498035717944,79.06854221792275,12,0,0,2,Low,Medium,Medium,Low,25.8,Low
Annamalaiyar Temple (Base),12.226080482217341,79.06688853151573,9,0,1,0,High,Medium,High,Low,6.2,Low
Annamalaiyar Temple (Base),12.226412901513942,79.06742212806557,15,0,0,1,Medium,Low,Medium,Low,0.5,Low
Annamalaiyar Temple (Base),12.226960742371709,79.06610019050673,6,0,1,1,Low,Low,Medium,Low,7.9,Low
Annamalaiyar Temple (Base),12.226663815783436,79.06660083072258,8,1,0,0,High,Low,High,Low,6.7,Low
Annamalaiyar Temple (Base),12.227619261706037,79.0681814799107,8,0,0,1,High,Low,High,Low,1.5,Low
Annamalaiyar Temple (Base),12.226755736123824,79.06599462693167,10,0,0,0,High,High,Medium,Low,9.0,Low
Annamalaiyar Temple (Base),12.227020687906293,79.06786150556691,13,0,0,0,Low,Low,Medium,Low,13.9,Low
Annamalaiyar Temple (Base),12.227733134264968,79.06700573180613,10,0,0,0,Medium,Low,High,Low,14.7,Low
Annamalaiyar Temple (Base),12.224109850069272,79.06665290217057,12,0,0,1,High,Medium,Medium,Low,5.0,Low
Annamalaiyar Temple (Base),12.224077410460476,79.06618743007186,7,0,0,1,Medium,Low,Low,Low,0.0,Low
Annamalaiyar Temple (Base),12.227050595828386,79.06881456701714,18,0,0,2,Medium,Low,Low,Low,13.0,Low
Annamalaiyar Temple (Base),12.22747961548334,79.06973538294953,7,0,0,1,Medium,Low,High,Low,10.3,Low
Annamalaiyar Temple (Base),12.22405770971051,79.06775898679248,23,0,0,1,High,Medium,High,Low,24.3,Low
Annamalaiyar Temple (Base),12.22409126378333,79.06955432923317,4,0,1,2,Medium,Low,Low,Low,20.0,Low
Annamalaiyar Temple (Base),12.22445326697514,79.06848003394114,0,0,0,0,Low,Low,Medium,Low,11.3,Low
Annamalaiyar Temple (Base),12.226910436706667,79.06655688621736,1,1,0,1,Low,Medium,Medium,Low,29.8,Low
Annamalaiyar Temple (Base),12.225740650685688,79.06657645823441,10,0,1,0,Low,Low,Low,Low,4.3,Low
Annamalaiyar Temple (Base),12.225809644835772,79.06911840643961,5,0,0,3,Low,Low,High,Low,27.9,Low
Annamalaiyar Temple (Base),12.224127240367245,79.0686510580573,6,0,0,1,Medium,Low,High,Low,8.4,Low
Annamalaiyar Temple (Base),12.226031435745089,79.06817243643155,7,0,0,1,Medium,Medium,Medium,Low,22.9,Low
Annamalaiyar Temple (Base),12.224757047788934,79.06679163192746,0,0,0,0,Low,Low,Medium,Low,5.7,Low
Annamalaiyar Temple (Base),12.225304230684804,79.0695735048105,1,0,0,1,High,Medium,Medium,Low,12.2,Low
Annamalaiyar Temple (Base),12.224401899113687,79.06621982148879,17,0,0,0,Low,Medium,Medium,Low,7.6,Low
Annamalaiyar Temple (Base),12.22772521091334,79.06921675673716,15,0,0,3,Low,Low,Medium,Low,15.5,Low
Annamalaiyar Temple (Base),12.226223380272096,79.06617539344876,4,0,1,0,Medium,Low,High,Low,16.6,Low
Annamalaiyar Temple (Base),12.22436917836535,79.0664958785044,10,0,1,1,Medium,Medium,High,Low,29.9,Low
Annamalaiyar Temple (Base),12.224668666192334,79.06872675959823,21,0,0,0,High,Low,Low,Low,3.1,Low
Annamalaiyar Temple (Base),12.225093521652035,79.0678576900122,21,0,1,0,Low,Low,High,Low,8.2,Low
Annamalaiyar Temple (Base),12.224969358726744,79.06733785175796,22,0,0,1,Medium,Low,Medium,Low,20.5,Low
Annamalaiyar Temple (Base),12.226542372389751,79.06622753329859,13,0,0,0,High,Medium,Medium,Low,10.1,Low
Annamalaiyar Temple (Base),12.227277246477406,79.06709385607427,15,0,0,0,High,Low,Medium,Low,0.0,Low
Annamalaiyar Temple (Base),12.224770601043485,79.06611685461071,6,0,0,0,Low,Medium,Low,Low,14.7,Low
Annamalaiyar Temple (Base),12.2270754710858,79.0697800026459,19,0,0,3,Low,Low,High,Low,22.8,Low
Annamalaiyar Temple (Base),12.226478082896815,79.06715308475339,23,0,0,2,Low,Medium,Medium,Low,36.4,Medium
Annamalaiyar Temple (Base),12.225343704713474,79.06584615690441,19,1,0,1,Low,High,Medium,Low,25.6,Low
Annamalaiyar Temple (Base),12.225523279007183,79.06924992438606,17,0,1,1,High,Low,Medium,Low,9.2,Low
Annamalaiyar Temple (Base),12.224221542381086,79.06709714583235,4,0,0,0,Medium,High,Low,Low,27.4,Low
Annamalaiyar Temple (Base),12.22624279412534,79.06600795027573,5,0,0,0,Low,Low,Medium,Low,0.0,Low
Annamalaiyar Temple (Base),12.224631346597103,79.06955210981513,23,0,1,0,Low,High,Medium,Low,19.4,Low
Annamalaiyar Temple (Base),12.227144354019547,79.06711040037521,3,0,0,0,Medium,Low,High,Low,22.4,Low
Annamalaiyar Temple (Base),12.22556146808791,79.06720923634094,19,0,0,1,Medium,Low,High,Low,13.6,Low
Annamalaiyar Temple (Base),12.226287106307119,79.06721864355514,1,0,0,0,Low,Low,Medium,Low,13.4,Low
Annamalaiyar Temple (Base),12.227690255608655,79.06775061140479,5,0,0,1,High,Low,Low,Low,2.4,Low
Annamalaiyar Temple (Base),12.226383568337045,79.06609108807153,3,0,0,0,Low,Low,High,Low,17.4,Low
Annamalaiyar Temple (Base),12.224348678811976,79.06616644814126,3,0,0,2,Low,Low,Medium,Low,33.5,Medium
Annamalaiyar Temple (Base),12.224973604116064,79.06793055875174,22,0,0,1,Low,Low,Low,Low,20.6,Low
Annamalaiyar Temple (Base),12.224685945561227,79.06638291274105,13,1,0,2,Medium,Low,Low,Low,11.2,Low
Annamalaiyar Temple (Base),12.224861391767215,79.0659377063442,19,0,0,2,Low,High,Medium,Low,23.8,Low
Annamalaiyar Temple (Base),12.22792029131267,79.06888797218663,23,0,0,1,Low,Low,Medium,Low,21.8,Low
Annamalaiyar Temple (Base),12.227141866984963,79.06618179929436,18,0,0,0,Medium,Low,High,Low,20.4,Low
Annamalaiyar Temple (Base),12.226866518069667,79.06719863830321,21,0,0,0,Low,Medium,High,Low,21.0,Low
Annamalaiyar Temple (Base),12.224468087533873,79.06870475643511,9,0,0,2,Medium,High,High,Low,37.6,Medium
Annamalaiyar Temple (Base),12.225611111168693,79.06905531547076,15,0,0,1,Low,Medium,Medium,Low,19.2,Low
Annamalaiyar Temple (Base),12.225315288146193,79.06906030315531,17,0,0,1,Medium,Low,High,Low,16.8,Low
Annamalaiyar Temple (Base),12.22446047145155,79.06633691298573,2,0,0,1,Low,High,Medium,Low,33.0,Medium
Annamalaiyar Temple (Base),12.224722859816485,79.06790119933227,12,0,0,0,Low,Low,Low,Low,0.0,Low
Annamalaiyar Temple (Base),12.226560337168136,79.06911382618703,11,0,0,0,Low,Medium,Low,Low,5.5,Low
Annamalaiyar Temple (Base),12.22763365164239,79.06966005649409,7,0,0,0,Low,Low,Low,Low,3.1,Low
Annamalaiyar Temple (Base),12.225352734912748,79.06907435610823,23,0,1,2,High,Medium,Medium,Low,28.9,Low
Annamalaiyar Temple (Base),12.224852086370742,79.06625163316905,9,0,0,0,High,Low,Medium,Low,3.4,Low
Annamalaiyar Temple (Base),12.22549020606185,79.0669609376127,10,0,0,2,Low,High,Low,Low,28.2,Low
Annamalaiyar Temple (Base),12.224763051330852,79.06887063318152,10,0,1,0,Low,Low,Medium,Low,16.4,Low
Annamalaiyar Temple (Base),12.227817740485856,79.06755699362039,6,0,0,1,Low,Low,Medium,Low,3.7,Low
Annamalaiyar Temple (Base),12.22437595245676,79.06810841391093,14,0,0,0,Low,Medium,High,Low,6.2,Low
Annamalaiyar Temple (Base),12.225950356484923,79.06976327155802,14,0,1,0,High,Low,Medium,Low,0.0,Low
Annamalaiyar Temple (Base),12.224394350200042,79.06925154545934,8,0,0,0,Medium,Low,Medium,Low,1.0,Low
Annamalaiyar Temple (Base),12.22654157396628,79.06626998366708,11,0,0,0,Medium,High,Low,Low,20.5,Low
Annamalaiyar Temple (Base),12.224159668055806,79.06614511402576,11,0,1,2,Medium,Low,High,Low,25.3,Low
Annamalaiyar Temple (Base),12.224626269698176,79.06971876663823,18,0,0,0,Medium,Low,High,Low,2.3,Low
Annamalaiyar Temple (Base),12.225310513311292,79.06926600346345,3,0,0,0,Low,Medium,High,Low,20.4,Low
Annamalaiyar Temple (Base),12.227494509436925,79.06876959553519,9,0,1,0,Medium,Low,Low,Low,4.0,Low
Annamalaiyar Temple (Base),12.227229621174299,79.06885800748816,16,0,0,0,High,Medium,Medium,Low,7.4,Low
Annamalaiyar Temple (Base),12.225190754868951,79.06595126897648,7,1,1,3,Medium,Low,Low,Low,20.0,Low
Annamalaiyar Temple (Base),12.226652765614098,79.06872157752497,20,0,0,3,Low,Low,High,Low,23.9,Low
Annamalaiyar Temple (Base),12.225790958716185,79.06904434304388,6,0,0,4,High,Low,Medium,Low,34.5,Medium
Annamalaiyar Temple (Base),12.225022034520652,79.06760300172343,13,0,0,1,Low,Low,High,Low,23.4,Low
Annamalaiyar Temple (Base),12.226212628272773,79.0666199283152,19,0,0,2,High,Low,High,Low,24.3,Low
Annamalaiyar Temple (Base),12.224684028721956,79.06581758009258,6,0,0,2,High,Low,Medium,Low,15.4,Low
Annamalaiyar Temple (Base),12.22758292366301,79.06682476036706,10,0,0,0,Medium,Low,Medium,Low,12.9,Low
Annamalaiyar Temple (Base),12.22506858802146,79.06754847179728,9,0,0,0,Medium,Low,Low,Low,0.2,Low
Annamalaiyar Temple (Base),12.224606923610814,79.0685684150784,22,0,0,3,Medium,Low,Low,Low,16.7,Low
Annamalaiyar Temple (Base),12.224987376654253,79.06921122969429,13,0,1,0,Low,Low,High,Low,10.2,Low
Annamalaiyar Temple (Base),12.227404411504684,79.0690588351768,16,0,0,0,Medium,Low,Low,Low,2.0,Low
Annamalaiyar Temple (Base),12.224227904192436,79.06830330364174,8,0,0,0,High,Low,Low,Low,0.0,Low
Annamalaiyar Temple (Base),12.225581712931378,79.06857723170745,3,0,1,0,High,Low,Low,Low,12.9,Low
Annamalaiyar Temple (Base),12.227373732601471,79.06802680566344,4,0,1,0,High,Low,Low,Low,2.9,Low
Annamalaiyar Temple (Base),12.226023064782185,79.06829607276762,23,0,0,2,High,Medium,Medium,Low,32.7,Medium
