time_hour,previous_incidents,crowd_level,weather_risk,tourist_density,zone_risk,risk_score,risk_label
21,2,Medium,Low,High,Low,27.7324954120537,Low
2,1,Medium,Low,Low,High,55.41272493015017,Medium
0,3,High,Low,Medium,Low,39.51419788744011,Medium
2,3,Low,Low,Medium,High,78.35264017561342,High
4,3,High,Medium,Low,Low,49.1327639548757,Medium
14,2,Medium,Low,Medium,Medium,27.836529885697225,Low
13,2,Medium,Medium,Low,Medium,39.87130497566687,Medium
2,1,Low,Medium,Low,High,79.35148948802768,High
0,4,Medium,Low,Low,Medium,74.27325553662502,High
4,2,Medium,Medium,High,High,81.45119414270673,High
22,2,Medium,Low,Low,Medium,49.85342727211512,Medium
13,2,High,Medium,Medium,Low,22.531365583050327,Low
6,1,Medium,Low,Low,High,35.54158521465665,Medium
8,1,Medium,Low,Low,High,33.12171430248547,Medium
14,0,High,Low,Low,Low,0.0,Low
14,3,Medium,Medium,Medium,High,64.34653348744807,Medium
9,2,Medium,Low,Low,Medium,32.58228789268027,Medium
12,2,Low,Low,Low,High,58.71463549923482,Medium
18,2,Low,Low,High,High,58.229649363228575,Medium
6,2,Medium,Low,Medium,High,53.57960978306718,Medium
16,3,High,Medium,Low,High,51.35318154516533,Medium
19,2,Low,Medium,Medium,Low,44.40327721661005,Medium
3,3,Low,High,Low,Low,58.95056345885826,Medium
4,5,Medium,Low,Medium,Low,59.98398497460095,Medium
22,1,Low,Low,Low,Low,35.51050305911822,Medium
6,3,Medium,Medium,Low,Low,36.63335458627861,Medium
12,1,Medium,Medium,Low,Medium,27.268571104376594,Low
14,2,Low,Low,Low,Low,34.84928606128723,Medium
10,0,High,Medium,High,Medium,31.39679978297329,Medium
3,1,Medium,Medium,Low,High,72.84576414249648,High
12,1,Medium,Low,Low,Medium,26.831818995400376,Low
6,2,Low,Medium,Medium,Low,43.92388725474988,Medium
18,6,Medium,Low,Medium,Low,26.53654894142737,Low
21,1,High,High,Low,Low,16.034572452898374,Low
1,3,Low,Medium,Low,Low,64.24547114596871,Medium
9,1,Low,Low,Low,Medium,34.32385648195941,Medium
12,3,Low,Low,Low,Medium,38.44042454950204,Medium
20,3,Low,High,Low,Medium,67.17723963522296,Medium
5,1,Low,Medium,Low,Low,31.193443040181744,Medium
11,1,Low,Low,Medium,Low,15.205336743190635,Low
11,3,High,Medium,High,Medium,40.97367326425973,Medium
19,3,Medium,Medium,Medium,Low,44.01656282151322,Medium
10,0,Low,Low,Medium,Medium,35.37241244661383,Medium
22,2,High,Low,Medium,High,65.85766766789878,Medium
6,3,Low,Medium,Medium,Low,59.59812854262675,Medium
0,4,Medium,Low,High,Medium,86.22846427754203,High
0,2,Low,Low,Medium,Medium,68.39659825164529,Medium
19,2,Low,Medium,Medium,Medium,60.63063532942515,Medium
12,2,High,Low,Low,Low,0.0,Low
8,1,Low,Low,Medium,High,53.62434803664737,Medium
2,1,High,Low,Low,Low,26.374908150511096,Low
6,1,Medium,Medium,Low,Medium,41.52536566619547,Medium
5,4,Low,Medium,Low,Low,52.66362135316451,Medium
7,4,Medium,Medium,Medium,Low,33.39128442710293,Medium
8,2,Medium,Low,Medium,Low,10.005884110683127,Low
4,0,Low,Medium,High,Low,55.84526597210366,Medium
0,4,Low,High,Low,Low,58.74648761119611,Medium
18,2,Low,Low,Low,Low,24.66039507104754,Low
9,7,High,Low,High,High,53.90556160351322,Medium
11,2,Medium,Medium,High,Low,35.6744151446882,Medium
23,5,Low,Low,Medium,High,97.00383113798877,High
14,2,High,Low,Low,High,40.356767908547376,Medium
21,2,Low,Low,Medium,Low,39.148210670236054,Medium
23,3,Low,Low,Low,Low,60.168097660187605,Medium
8,2,Low,Low,High,Low,41.0698721372761,Medium
19,1,Medium,Low,Medium,High,58.956361087622184,Medium
16,0,Low,High,Low,Medium,44.71177917840325,Medium
16,1,Medium,Medium,High,High,50.29733940988164,Medium
19,5,High,Medium,Medium,Low,51.91224408896957,Medium
11,3,Low,Low,High,High,72.17151440114665,High
6,1,Low,Medium,High,Low,41.6838741813508,Medium
1,3,Low,Low,Low,High,83.40967244034634,High
2,1,Medium,Medium,Low,Low,34.425306149772766,Medium
16,2,High,Medium,Medium,Medium,39.20164407150634,Medium
4,4,Low,Medium,High,Medium,93.00790272084025,High
16,0,Low,Low,High,Medium,25.377270701368225,Low
23,0,Low,Medium,Medium,Low,49.02743809099235,Medium
16,3,Low,Low,Low,Medium,41.82721380210066,Medium
16,3,Medium,Low,Low,Low,18.763057371574273,Low
1,2,Low,Low,High,Medium,65.79887985523226,Medium
1,2,Low,High,Medium,Medium,89.90529689908269,High
21,1,Medium,Low,Medium,Low,18.069647730310148,Low
22,4,Low,Medium,Medium,Medium,98.75322006807129,High
4,2,Medium,Low,Medium,Low,41.89852678839193,Medium
0,3,Low,Low,High,Low,59.23867574733652,Medium
0,5,High,Medium,Low,Low,60.69368419970926,Medium
18,1,Low,Low,Low,High,47.854697945853964,Medium
1,3,High,Medium,Medium,Medium,76.8777819464894,High
20,4,Low,Medium,High,High,94.78784367691077,High
11,3,High,Medium,Low,Medium,24.873789902895346,Low
5,2,Low,Medium,Low,Medium,53.19381942338311,Medium
22,6,Medium,Low,Low,Low,59.86193370522097,Medium
3,1,Low,Low,Low,High,69.95736171847604,Medium
22,1,Medium,Low,Low,Low,27.987483097095524,Low
10,5,Medium,Low,Medium,Medium,44.97737993382975,Medium
23,1,Medium,High,Low,Low,41.48005393292702,Medium
16,3,Medium,Medium,Medium,High,61.527596841544806,Medium
5,0,Low,Medium,Low,Medium,41.00935938521939,Medium
23,9,Low,Medium,Low,High,100.0,High
4,2,Medium,Low,Medium,Low,36.02659508497108,Medium
19,4,Low,Medium,Medium,Low,50.185745508129244,Medium
1,0,Low,Medium,Low,Low,42.885864920211965,Medium
5,0,Low,Low,High,Medium,32.78624143995117,Medium
21,1,Low,Medium,Low,High,51.5633359347016,Medium
10,0,Medium,Medium,Medium,Low,15.747800064986198,Low
15,3,Medium,Low,Medium,Low,22.32809748141692,Low
15,1,High,Medium,High,Low,4.482055198499747,Low
0,3,Low,Low,Medium,Medium,72.54496791520955,High
8,0,High,Low,Medium,Low,0.0,Low
5,3,Medium,Medium,Medium,High,62.86040383832497,Medium
15,3,High,High,Low,Low,33.38733819197259,Medium
2,3,High,Medium,Medium,Medium,74.11099505967633,High
19,3,Medium,Medium,Low,Medium,64.54985977246328,Medium
3,5,Low,High,High,Low,90.96123409418719,High
18,0,Low,High,Low,Medium,41.134559547197334,Medium
2,2,Low,Low,High,Low,65.6451746610974,Medium
18,2,High,Low,Low,Medium,23.51400634011627,Low
19,4,High,Low,High,Medium,51.956061040293285,Medium
6,0,Medium,Medium,Medium,Low,20.064395708541003,Low
19,3,High,High,Low,High,74.32244552311207,High
8,1,High,Low,Low,Medium,6.180172142235495,Low
0,1,Medium,Medium,High,Medium,68.95753047143913,Medium
7,6,Medium,Medium,Low,Low,29.65554735320238,Low
6,2,Medium,Low,Low,Low,18.913330117933633,Low
17,1,Medium,Low,Low,Low,7.855109348375665,Low
7,2,Low,Low,High,High,70.47364762987391,High
0,2,Medium,Low,Low,High,65.38835691683626,Medium
10,2,Medium,Medium,Low,Low,13.695069479898411,Low
17,3,Medium,Low,High,Low,32.40469762705408,Medium
22,2,High,Medium,High,Medium,60.35440365409051,Medium
9,1,Low,Low,Low,Medium,20.924830345022464,Low
2,5,Low,Medium,High,High,100.0,High
6,2,High,Low,Low,Low,17.66665955171866,Low
15,3,Medium,High,Low,Low,32.53603000244793,Medium
15,2,Low,Low,High,Low,34.422369067347304,Medium
19,1,Medium,High,High,Low,46.96607044534297,Medium
16,1,Medium,Medium,Low,High,39.490870166101615,Medium
1,3,High,Medium,Low,Medium,61.73404476041536,Medium
0,0,Medium,Low,Low,High,45.650234068043325,Medium
15,0,Low,Low,High,Low,16.457276086618414,Low
11,1,Medium,Low,High,Medium,23.734722923505725,Low
4,2,High,Low,Low,Medium,45.73819856266063,Medium
4,2,Medium,High,High,Low,58.54209585090561,Medium
22,2,High,Low,Low,Medium,45.90882405575145,Medium
8,2,Low,High,Medium,Medium,46.97147695995923,Medium
8,2,High,Medium,Low,High,37.09224942705909,Medium
2,3,High,Low,Medium,Low,40.69924618109585,Medium
18,2,Medium,Medium,Low,High,58.96652244449128,Medium
15,1,Low,Low,High,High,58.39214399801533,Medium
15,2,High,Low,Low,Medium,24.603969110148753,Low
2,3,Medium,Low,Medium,Medium,58.42729763797615,Medium
19,1,High,High,High,Low,31.33272237469246,Medium
23,3,Low,Low,Medium,Medium,75.74804188677507,High
21,1,Low,Medium,Low,Medium,44.01014715435938,Medium
23,0,Low,Low,Medium,Medium,63.791577399602204,Medium
0,3,Medium,Medium,High,Low,58.739537761928624,Medium
23,3,Medium,Low,Medium,High,89.08756297860619,High
19,2,Medium,Low,Low,Medium,49.22015616782683,Medium
10,1,Medium,Low,Medium,High,42.52781808711479,Medium
16,3,High,Low,High,Medium,38.290102447652295,Medium
7,5,Low,Medium,Low,Medium,59.12995718121244,Medium
3,4,Low,Low,Medium,Medium,85.93215401142741,High
5,0,High,High,Medium,Medium,39.711698956661785,Medium
7,2,Medium,Low,Low,Low,1.8695965059873654,Low
19,3,Medium,Low,Low,Low,36.92353579765919,Medium
2,2,Medium,Low,High,Medium,63.27454711669561,Medium
15,4,Medium,Low,Low,High,50.91037571212503,Medium
2,4,Low,High,High,Medium,99.58969756345559,High
17,1,Medium,Medium,High,Low,22.196296200711554,Low
13,4,High,Medium,Low,Low,35.86932546692093,Medium
17,0,Medium,High,Low,Medium,24.95824434122492,Low
1,1,Low,Medium,High,Medium,80.94002226182965,High
21,2,High,Medium,High,High,72.9808670322955,High
2,1,Low,Medium,Low,Medium,60.15708211878339,Medium
15,6,Low,Low,Low,Low,42.52345646267844,Medium
8,4,High,Medium,Medium,Medium,49.286685255862736,Medium
3,4,Low,Medium,Medium,Medium,100.0,High
0,2,High,Low,Medium,Medium,46.315603744385356,Medium
3,2,Medium,High,High,Low,49.4470486227268,Medium
0,2,Medium,Low,Medium,Low,28.939233609312687,Low
13,5,Medium,High,High,Medium,70.26698120857519,High
20,2,Low,Low,Medium,Low,44.14851566996063,Medium
15,3,Medium,Low,Low,Low,12.66255751713394,Low
19,3,High,Low,Medium,Low,27.852493929997173,Low
23,0,High,High,Medium,High,67.3429627901182,Medium
7,2,Medium,Low,Low,Low,5.141743722052521,Low
6,4,High,Medium,Low,Medium,57.61982343095443,Medium
2,2,Low,Medium,Medium,Medium,63.519785636373044,Medium
16,0,Low,Low,Medium,Medium,32.82859162504084,Medium
0,1,Low,High,High,Medium,77.41861252759692,High
15,1,Medium,Low,High,Low,19.907537236279264,Low
11,1,High,Medium,Low,Low,10.035205238053997,Low
18,3,Medium,Low,High,Low,16.698646509653734,Low
21,2,High,Low,Low,Medium,35.87610283613037,Medium
22,3,Medium,Low,Low,High,70.70226829086947,High
21,3,Low,Medium,Low,High,84.558209989095,High
13,2,Low,High,Medium,Medium,61.36459966871418,Medium
5,1,High,Low,Low,High,49.86276692003415,Medium
5,1,Low,Low,Medium,High,59.928452915327334,Medium
12,5,Medium,High,Low,Medium,55.503550241477946,Medium
18,1,Low,Low,Low,Low,15.912503600269467,Low
21,2,Low,Medium,High,Low,54.398469495927536,Medium
7,2,Medium,Medium,High,High,52.24860072319265,Medium
1,0,Low,Low,Medium,Medium,55.852517910015195,Medium
20,0,High,Medium,Medium,High,51.256043096869284,Medium
0,3,Medium,High,Medium,Low,71.25215578872884,High
14,1,Medium,Low,High,Low,7.7462993262891535,Low
0,4,Medium,Medium,Medium,Low,63.954763243251385,Medium
4,4,Medium,Medium,Low,Low,54.048486158193455,Medium
15,1,High,Low,Low,High,26.46892660246885,Low
18,5,Low,Low,Low,Low,51.65452712564495,Medium
3,1,Low,Medium,Medium,Medium,70.67193256163611,High
2,0,Low,Low,Low,Low,44.22160320081875,Medium
16,2,High,Low,High,Low,10.517698794596951,Low
16,3,High,High,Medium,Low,43.059531045171425,Medium
11,1,Low,Medium,Low,High,51.55433362413676,Medium
13,1,Medium,High,Low,Medium,41.770119093427326,Medium
20,1,Low,Low,Medium,Medium,41.32903786788278,Medium
5,3,Low,Medium,Low,High,71.5625512603233,High
2,2,Medium,Medium,Low,High,74.8405114995223,High
8,2,Low,High,High,Low,55.293836256961555,Medium
4,0,Medium,High,Medium,Low,52.582878678186304,Medium
23,1,Medium,High,High,Low,55.847908736248435,Medium
16,1,High,High,High,Low,23.06131337818514,Low
13,5,Medium,Low,High,Low,39.910624120478,Medium
20,4,Medium,Medium,Low,Low,37.687458379616245,Medium
2,2,Medium,Low,Low,Low,37.84004224767572,Medium
0,2,Low,Medium,Low,High,85.28393643398962,High
19,0,Medium,High,Low,High,58.31049522095149,Medium
20,0,Low,Low,Medium,Low,28.786723316628837,Low
22,1,Low,Medium,High,High,91.75224902572651,High
0,2,Medium,Medium,High,Medium,53.65933198454135,Medium
2,3,High,Low,High,Low,41.01461301821034,Medium
17,2,Low,Low,Medium,Medium,37.06671831635797,Medium
9,0,Low,Low,Medium,Low,13.049968987484707,Low
21,1,Low,Low,Low,Low,27.57849462543358,Low
2,4,Low,Medium,Medium,Medium,89.80500225363974,High
7,1,Medium,Medium,High,Low,23.932057778854936,Low
13,3,Low,Low,Low,Low,35.18947201249754,Medium
23,0,High,High,Medium,Low,38.19910598527082,Medium
17,1,High,Medium,High,High,42.925029660542464,Medium
14,3,Medium,Medium,Low,Medium,40.160552164952655,Medium
21,2,Medium,Low,High,Medium,47.178720084690816,Medium
22,3,Low,Medium,Low,Medium,76.59654556931305,High
1,1,Low,Low,High,Medium,62.46427835262203,Medium
9,1,Medium,Medium,Medium,Low,24.514901248539694,Low
1,2,Low,Medium,Low,High,90.91186321632334,High
16,2,Medium,Low,Low,High,48.52541944215909,Medium
7,2,Low,High,Medium,Low,36.079942376352705,Medium
0,4,Low,Low,High,Medium,86.34789538047644,High
8,1,Low,Low,Medium,Medium,44.63463637635603,Medium
10,2,Low,High,High,Low,52.71647748090041,Medium
21,2,High,Low,High,Low,23.918087684582353,Low
15,2,Low,Medium,Low,Low,28.009151540871194,Low
6,2,High,Medium,Medium,High,51.581160677922995,Medium
9,2,Medium,Low,Low,Low,19.715375236963563,Low
22,2,High,High,Medium,Low,46.13998920480374,Medium
2,1,Medium,Low,Low,Low,28.124993917179285,Low
17,1,High,Low,Low,Medium,19.353355974290018,Low
23,3,Low,High,Medium,High,100.0,High
12,1,Medium,Medium,Low,Medium,31.187066813224003,Medium
6,2,Low,Medium,Medium,Low,42.54219503976443,Medium
3,3,Medium,Medium,High,Medium,66.44754345725448,Medium
12,3,Medium,Low,Low,Medium,34.296862467322406,Medium
19,5,Medium,Low,High,Medium,59.71746278724626,Medium
0,1,Low,Low,Medium,Medium,63.12267615564166,Medium
7,3,Low,High,Low,Low,38.650121318142695,Medium
13,2,Medium,Low,High,Low,19.103188260980698,Low
15,3,Medium,Low,Low,Low,28.295852593893144,Low
13,1,Low,Low,Low,High,47.310035529030046,Medium
11,1,High,Low,Low,Medium,11.200693141111993,Low
18,4,High,Medium,Medium,Medium,48.99457970373597,Medium
22,0,High,High,Medium,High,69.14890757152305,Medium
14,4,High,Low,Low,High,44.2682524679255,Medium
1,2,Low,Low,Low,Low,47.146086306341786,Medium
1,1,High,Medium,High,Low,49.44108111452693,Medium
22,0,Medium,Low,High,High,66.62390852339323,Medium
21,3,Low,High,Medium,High,88.90808023270601,High
18,1,High,Medium,Low,Medium,16.72311515531199,Low
21,1,Low,Low,Low,High,62.40600330250505,Medium
21,2,Medium,High,High,Low,50.86786858876129,Medium
16,0,Low,Low,Low,Low,0.241390708595695,Low
19,5,Medium,Low,Low,Low,33.11108214182355,Medium
9,3,Medium,Low,Medium,High,61.4363096085962,Medium
5,0,Medium,High,Medium,Medium,48.92036005005574,Medium
14,3,Low,Medium,Medium,Medium,46.64594451841145,Medium
21,1,Medium,Low,Low,Low,24.82116731390225,Low
10,0,Medium,Medium,Medium,Low,19.299202035374055,Low
4,1,Low,Medium,Medium,High,78.74121080373632,High
0,1,High,Low,Medium,Low,24.464157793114666,Low
7,1,Medium,Medium,Low,Medium,29.477082304224584,Low
20,0,High,Medium,High,Medium,38.96061914692993,Medium
11,1,Low,Medium,Medium,Medium,42.05082908313764,Medium
11,2,Low,Low,Medium,High,49.56469269842125,Medium
4,4,Low,Low,Medium,Low,60.88977032070717,Medium
6,3,Medium,Medium,Low,Medium,50.45405050469935,Medium
3,1,Low,Medium,Low,Low,40.072578434028514,Medium
5,3,Medium,Medium,Low,Low,43.94934381729233,Medium
12,1,Low,Medium,Medium,Low,21.631669048108456,Low
19,2,Low,Medium,Medium,Low,53.83596308490026,Medium
14,2,Medium,High,Medium,High,62.92022795232883,Medium
2,2,High,Low,Low,Medium,43.148015076651255,Medium
22,1,Low,Low,High,Low,51.325539180177074,Medium
7,0,Medium,Low,Low,Low,0.0,Low
19,3,Medium,Low,Medium,Low,41.94522948685819,Medium
15,1,Medium,Medium,Low,Medium,41.726055321619334,Medium
12,0,High,High,Medium,High,47.35502345712285,Medium
17,2,High,Low,Medium,Medium,24.92737437011004,Low
9,0,Low,High,High,Low,43.6170016459677,Medium
18,1,Medium,Medium,Low,Low,12.771469860059712,Low
16,2,Medium,Medium,Low,Low,16.839193007343283,Low
23,1,Medium,Medium,Medium,Medium,65.38336076975385,Medium
18,5,Low,Low,Medium,Low,49.03743386343006,Medium
22,3,High,Low,High,Low,42.91544930860813,Medium
4,1,High,Medium,Low,Low,35.88956155811028,Medium
20,1,Low,High,Medium,Medium,60.93668550151538,Medium
22,0,Low,Medium,Low,Low,46.62537792326928,Medium
8,0,High,Low,Medium,High,32.02609469431785,Medium
11,2,Low,Low,Low,Medium,29.330457725715675,Low
20,2,Medium,High,Medium,Medium,59.24833513542274,Medium
0,4,Low,Low,Medium,Low,54.09808263648098,Medium
0,0,Low,High,Low,Low,42.46388973023456,Medium
14,1,Low,Medium,Low,Medium,36.03840957472087,Medium
1,1,Low,Medium,Medium,Low,49.418764737352376,Medium
21,1,Low,Medium,Low,Low,25.74163142454639,Low
15,2,Medium,Low,Low,Low,4.880432273480546,Low
7,0,Medium,Medium,Low,Low,0.0,Low
12,1,Low,Medium,High,Low,27.553095460763977,Low
20,0,Medium,Medium,Medium,High,57.15709249054832,Medium
0,3,Medium,Medium,Low,Low,59.85997850928605,Medium
15,2,Medium,Low,High,Low,26.34661011588841,Low
6,1,Medium,Medium,Low,Low,28.603690345728655,Low
4,1,Medium,Low,High,Medium,56.264553946862456,Medium
21,2,High,Low,Medium,Medium,37.364661282935636,Medium
22,1,Medium,Medium,High,Low,46.40049910987343,Medium
2,0,Low,Low,Medium,Medium,62.307255419105736,Medium
11,5,Medium,Medium,Medium,Low,45.711057612890286,Medium
15,4,Low,Low,Low,Medium,50.195721460728926,Medium
18,2,Low,Low,High,Medium,34.467558779879795,Medium
4,0,Medium,Low,Low,Medium,44.37063518167502,Medium
21,3,High,Low,Medium,Medium,48.44802021590507,Medium
13,2,Low,Medium,Low,Low,26.280647948049825,Low
4,6,High,Medium,High,Medium,82.35824937909689,High
14,3,Low,High,Medium,Low,47.19827547358317,Medium
16,1,Low,Low,Low,High,42.770554080043446,Medium
13,2,High,Medium,Low,Low,17.461405448325017,Low
19,1,Medium,Medium,Medium,Low,23.514434036335285,Low
4,3,High,Low,Low,Low,50.23325820714936,Medium
11,0,High,Medium,Low,Low,6.187357565935454,Low
15,4,High,Medium,High,Medium,49.341360294058134,Medium
15,3,Low,Low,Medium,Low,37.75329678668606,Medium
20,1,Low,Medium,High,Low,48.70241633956978,Medium
6,2,High,Low,Medium,Low,18.531249126680848,Low
3,0,Medium,Low,Medium,Medium,40.969317199087406,Medium
0,6,Medium,Low,Medium,Low,45.27592756315167,Medium
4,3,Low,High,Low,Low,62.56739375660385,Medium
22,1,Low,Low,Medium,Medium,64.00118519617901,Medium
9,0,Medium,Low,Medium,Low,5.099595212937972,Low
21,3,Low,Medium,High,Low,53.040536808200066,Medium
4,0,Low,Medium,Medium,Medium,64.08217854499932,Medium
3,2,Low,Medium,High,Low,59.808647292065075,Medium
1,2,Low,Low,Medium,Low,42.29499783127146,Medium
19,3,High,Medium,Medium,Medium,46.319512072416984,Medium
9,2,Medium,Low,Medium,Low,29.770265108520537,Low
18,2,Low,Medium,Low,Low,29.088300279797703,Low
0,2,Low,Medium,Low,Medium,69.43371891788024,Medium
23,3,Medium,Medium,High,High,92.13967017993252,High
4,2,Low,Medium,High,Medium,83.87296495676014,High
12,1,High,Medium,Low,Low,7.644527946734452,Low
3,2,High,Medium,High,Low,54.656596323111906,Medium
